,district,Year,month,Visitors,district_1
589,Mahbubnagar,2017,June,179210,Mahbubnagar
809,Mahbubnagar,2017,August,215229,Mahbubnagar
1249,Mahbubnagar,2017,December,426167,Mahbubnagar
369,Mahbubnagar,2017,April,208694,Mahbubnagar
149,Mahbubnagar,2017,February,805392,Mahbubnagar
1139,Mahbubnagar,2017,November,259060,Mahbubnagar
919,Mahbubnagar,2017,September,180675,Mahbubnagar
39,Mahbubnagar,2017,January,446135,Mahbubnagar
699,Mahbubnagar,2017,July,179099,Mahbubnagar
259,Mahbubnagar,2017,March,178256,Mahbubnagar
1029,Mahbubnagar,2017,October,196103,Mahbubnagar
479,Mahbubnagar,2017,May,214209,Mahbubnagar
370,Mancherial,2017,April,1513,Mancherial
1250,Mancherial,2017,December,30328,Mancherial
1140,Mancherial,2017,November,25737,Mancherial
480,Mancherial,2017,May,1424,Mancherial
1030,Mancherial,2017,October,37671,Mancherial
