,district,Year,month,Visitors
919,Mahbubnagar,2017,September,180675
1029,Mahbubnagar,2017,October,196103
1139,Mahbubnagar,2017,November,259060
1249,Mahbubnagar,2017,December,426167
40,Mancherial,2017,January,2937
150,Mancherial,2017,February,3130
260,Mancherial,2017,March,2775
370,Mancherial,2017,April,1513
480,Mancherial,2017,May,1424
590,Mancherial,2017,June,2119
700,Mancherial,2017,July,33591
810,Mancherial,2017,August,26104
920,Mancherial,2017,September,24297
1030,Mancherial,2017,October,37671
1140,Mancherial,2017,November,25737
1250,Mancherial,2017,December,30328
41,Medak ,2017,January,523000
151,Medak ,2017,February,543321
261,Medak ,2017,March,548535
371,Medak ,2017,April,554864
481,Medak ,2017,May,556891
591,Medak ,2017,June,561469
701,Medak ,2017,July,575300
811,Medak ,2017,August,632830
921,Medak ,2017,September,696113
1031,Medak ,2017,October,765724
1141,Medak ,2017,November,842296
1251,Medak ,2017,December,926526
42,Nagarkurnool ,2017,January,382879
152,Nagarkurnool ,2017,February,286258
262,Nagarkurnool ,2017,March,184508
372,Nagarkurnool ,2017,April,183697
482,Nagarkurnool ,2017,May,183697
592,Nagarkurnool ,2017,June,180010
702,Nagarkurnool ,2017,July,180010
812,Nagarkurnool ,2017,August,181861
922,Nagarkurnool ,2017,September,118010
1032,Nagarkurnool ,2017,October,201050
1142,Nagarkurnool ,2017,November,188786
1252,Nagarkurnool ,2017,December,382879
43,Nalgonda,2017,January,4447
153,Nalgonda,2017,February,8652
263,Nalgonda,2017,March,8054
373,Nalgonda,2017,April,44295
483,Nalgonda,2017,May,10750
593,Nalgonda,2017,June,37879
703,Nalgonda,2017,July,21361
813,Nalgonda,2017,August,9363
923,Nalgonda,2017,September,17465
1033,Nalgonda,2017,October,36066
1143,Nalgonda,2017,November,17687
1253,Nalgonda,2017,December,25897
44,Nirmal,2017,January,340311
154,Nirmal,2017,February,415326
264,Nirmal,2017,March,442057
374,Nirmal,2017,April,274132
484,Nirmal,2017,May,297233
594,Nirmal,2017,June,340359
704,Nirmal,2017,July,328101
814,Nirmal,2017,August,340430
924,Nirmal,2017,September,528540
1034,Nirmal,2017,October,388644
1144,Nirmal,2017,November,369365
1254,Nirmal,2017,December,340585
45,Nizamabad,2017,January,613
155,Nizamabad,2017,February,1752
265,Nizamabad,2017,March,660
375,Nizamabad,2017,April,1048
485,Nizamabad,2017,May,1341
595,Nizamabad,2017,June,2391
705,Nizamabad,2017,July,1520
815,Nizamabad,2017,August,1583
925,Nizamabad,2017,September,933
1035,Nizamabad,2017,October,6644
1145,Nizamabad,2017,November,1677
1255,Nizamabad,2017,December,1787
46,Peddapalli,2017,January,1345
156,Peddapalli,2017,February,1378
266,Peddapalli,2017,March,965
376,Peddapalli,2017,April,750
486,Peddapalli,2017,May,640
596,Peddapalli,2017,June,885
706,Peddapalli,2017,July,1095
816,Peddapalli,2017,August,1385
926,Peddapalli,2017,September,1155
1036,Peddapalli,2017,October,1595
1146,Peddapalli,2017,November,1940
1256,Peddapalli,2017,December,1765
47,Rajanna Sircilla ,2017,January,615842
157,Rajanna Sircilla ,2017,February,1255569
267,Rajanna Sircilla ,2017,March,1030441
377,Rajanna Sircilla ,2017,April,1146782
487,Rajanna Sircilla ,2017,May,1117228
597,Rajanna Sircilla ,2017,June,1113882
707,Rajanna Sircilla ,2017,July,462022
817,Rajanna Sircilla ,2017,August,1004410
927,Rajanna Sircilla ,2017,September,487060
1037,Rajanna Sircilla ,2017,October,845620
1147,Rajanna Sircilla ,2017,November,1191129
1257,Rajanna Sircilla ,2017,December,1649362
48,Sangareddy ,2017,January,195000
158,Sangareddy ,2017,February,140000
268,Sangareddy ,2017,March,275000
378,Sangareddy ,2017,April,215000
488,Sangareddy ,2017,May,215000
598,Sangareddy ,2017,June,180000
708,Sangareddy ,2017,July,195000
818,Sangareddy ,2017,August,295000
928,Sangareddy ,2017,September,200000
1038,Sangareddy ,2017,October,232000
1148,Sangareddy ,2017,November,324500
1258,Sangareddy ,2017,December,356950
49,Siddipet,2017,January,80500
159,Siddipet,2017,February,80500
269,Siddipet,2017,March,80500
379,Siddipet,2017,April,80500
489,Siddipet,2017,May,80500
599,Siddipet,2017,June,60000
709,Siddipet,2017,July,88550
819,Siddipet,2017,August,97405
